-180	0.0000	0.0100
-170	0.5380	0.0055
-160	1.0759	0.1111
-150	0.8320	0.2730
-140	0.6986	0.4720
-130	0.5820	0.6842
-120	0.4538	0.8844
-110	0.3088	1.0490
-100	0.1532	1.1584
-90	0.0000	1.2000
-80	-0.1532	1.1584
-70	-0.3088	1.0490
-60	-0.4538	0.8844
-50	-0.5820	0.6842
-40	-0.6986	0.4720
-30	-0.8320	0.2730
-20	-1.0759	0.1111
-10	-0.5780	0.0129
-9.5	-0.5322	0.0123
-9	-0.4837	0.0117
-8.5	-0.4337	0.0112
-8	-0.3821	0.0108
-7.5	-0.3294	0.0104
-7	-0.2756	0.0100
-6.5	-0.2212	0.0096
-6	-0.1662	0.0093
-5.5	-0.1111	0.0090
-5	-0.0558	0.0085
-4.5	-0.0018	0.0080
-4	0.0515	0.0071
-3.5	0.1042	0.0062
-3	0.1623	0.0062
-2.5	0.2204	0.0063
-1.5	0.3379	0.0063
-1	0.3962	0.0063
-0.5	0.4541	0.0064
0	0.5115	0.0065
0.5	0.5698	0.0065
1	0.6279	0.0065
1.5	0.6858	0.0066
2.5	0.7999	0.0068
3	0.8557	0.0069
4	0.9700	0.0070
4.5	1.0267	0.0071
5	1.0825	0.0072
5.5	1.1375	0.0073
6	1.1927	0.0074
6.5	1.2478	0.0074
7	1.3011	0.0076
7.5	1.3496	0.0079
8	1.3667	0.0092
8.5	1.3486	0.0110
9	1.3347	0.0129
9.5	1.3029	0.0162
10	1.2817	0.0200
10.5	1.2662	0.0242
11	1.2529	0.0289
11.5	1.2471	0.0334
12	1.3724	0.0402
12.5	1.3803	0.0441
13	1.3923	0.0481
13.5	1.4062	0.0521
14	1.4177	0.0563
14.5	1.4311	0.0604
15	1.4439	0.0645
15.5	1.4537	0.0690
16	1.4648	0.0734
16.5	1.4774	0.0777
17	1.4884	0.0822
17.5	1.4958	0.0871
18	1.5058	0.0917
18.5	1.5170	0.0961
19	1.5244	0.1010
19.5	1.5307	0.1061
20	1.5370	0.1111
30	1.1885	0.2730
40	0.9980	0.4720
50	0.8314	0.6842
60	0.6483	0.8844
70	0.4412	1.0490
80	0.2189	1.1584
90	0.0000	1.2000
100	-0.1532	1.1584
110	-0.3088	1.0490
120	-0.4538	0.8844
130	-0.5820	0.6842
140	-0.6986	0.4720
150	-0.8320	0.2730
160	-1.0759	0.1111
170	-0.5380	0.0055
180	0.0000	0.0100
